site,lineage,root.hair.density
1,I,57
1,I,58
1,I,37
1,I,31
1,I,55
1,I,49
1,I,63
1,I,17
1,I,45
1,N,6
1,N,5
1,N,5
1,N,10
1,N,12
1,N,21
1,N,5
1,N,9
1,N,9
2,I,27
2,I,7
2,I,25
2,I,24
2,I,14
2,I,25
2,I,19
2,I,42
2,I,36
2,N,29
2,N,31
2,N,28
2,N,28
2,N,22
2,N,24
2,N,24
2,N,23
2,N,19
3,I,9
3,I,3
3,I,7
3,I,60
3,I,18
3,I,12
3,I,12
3,I,39
3,I,59
3,N,28
3,N,12
3,N,12
3,N,12
3,N,8
3,N,7
